HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE
10000045,1,1,1,1,82,9,4,2,1,55,1,-1,-1,1,2,5,20,0,6,15,1
10000045,1,1,82,1,42,7,4,5,1,55,1,-1,-1,1,2,5,20,0,6,15,1
10000045,1,1,42,1,11,1,4,5,1,55,1,-1,-1,1,2,5,20,0,6,15,1
10000045,1,1,11,1,82,9,4,5,1,55,1,-1,-1,1,2,5,20,0,6,15,1
10000045,1,1,82,1,1,12,4,2,1,55,1,-1,-1,1,2,5,20,0,6,15,1
10001574,1,1,1,1,60,7,12,4,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,60,1,82,9,12,5,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,82,1,70,10,12,5,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,70,1,1,12,12,4,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,1,1,60,7,12,4,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,60,1,41,6,12,5,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,41,1,1,12,12,2,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,1,1,70,10,12,4,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,70,1,82,9,12,5,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,82,1,1,12,12,2,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,1,1,82,9,12,2,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,1,1,82,1,1,12,12,2,3,44,1,1,-1,1,0,12,7,3,2,5,4
10001574,2,1,1,1,54,8,12,3,3,42,1,1,-1,1,3,4,0,0,3,10,4
10001574,2,1,54,1,81,9,12,5,3,42,1,1,-1,1,3,4,0,0,3,10,4
10001574,2,1,81,1,82,9,12,5,3,42,1,1,-1,1,3,4,0,0,3,10,4
10001574,2,1,82,1,1,12,12,2,3,42,1,1,-1,1,3,4,0,0,3,10,4
10001574,3,1,1,-1,54,8,12,3,3,14,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10001574,3,1,54,-1,81,9,12,5,3,14,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10001574,3,1,81,-1,82,9,12,5,3,14,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10001574,3,1,82,-1,1,12,12,2,3,14,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4
10001574,4,1,1,1,61,7,12,4,3,17,1,1,-1,1,7,5,7,7,11,20,4
10001574,4,1,61,1,82,9,12,5,3,17,1,1,-1,1,7,5,7,7,11,20,4
10001574,4,1,82,1,11,1,12,5,3,17,1,1,-1,1,7,5,7,7,11,20,4
10001574,4,1,11,1,82,9,12,5,3,17,1,1,-1,1,7,5,7,7,11,20,4
10001574,4,1,82,1,1,12,12,2,3,17,1,1,-1,1,7,5,7,7,11,20,4
