HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE17,HHSIZE
30000931,1,1,HBSOCREC,50,17,5,0,1,69,1,-1,5,0,0,-1,-1,-1,-1,1,4,-9,-9,-9,5,1,5,5,1,2
30000931,1,17,NHB,40,14,5,0,1,69,1,-1,5,0,0,-1,-1,-1,-1,1,4,-9,-9,-9,5,1,5,5,1,2
30000931,1,14,NHB,40,11,5,0,1,69,1,-1,5,0,0,-1,-1,-1,-1,1,4,-9,-9,-9,5,1,5,5,1,2
30000931,1,11,HBSHOP,1,1,5,0,1,69,1,-1,5,0,0,-1,-1,-1,-1,1,4,-9,-9,-9,5,1,5,5,1,2
30000931,2,1,HBSHOP,40,11,5,0,1,68,1,-1,6,0,0,-1,-1,-1,-1,0,6,-9,-9,-9,5,1,5,5,1,2
30000931,2,11,NHB,40,11,5,0,1,68,1,-1,6,0,0,-1,-1,-1,-1,0,6,-9,-9,-9,5,1,5,5,1,2
30000931,2,11,HBSHOP,1,1,5,0,1,68,1,-1,6,0,0,-1,-1,-1,-1,0,6,-9,-9,-9,5,1,5,5,1,2
30000931,2,1,HBO,1,1,5,0,1,68,1,-1,6,0,0,-1,-1,-1,-1,0,6,-9,-9,-9,5,1,5,5,1,2
30000931,2,1,HBO,1,1,5,0,1,68,1,-1,6,0,0,-1,-1,-1,-1,0,6,-9,-9,-9,5,1,5,5,1,2
30000931,2,1,HBO,1,1,5,0,1,68,1,-1,6,0,0,-1,-1,-1,-1,0,6,-9,-9,-9,5,1,5,5,1,2
30001629,1,1,HBSHOP,40,11,3,0,1,58,1,-1,7,5,0,-1,-1,-1,-1,20,4,-9,-9,-9,2,1,5,5,1,2
30001629,1,11,HBSHOP,1,1,3,0,1,58,1,-1,7,5,0,-1,-1,-1,-1,20,4,-9,-9,-9,2,1,5,5,1,2
30001629,1,1,HBSOCREC,50,16,3,0,1,58,1,-1,7,5,0,-1,-1,-1,-1,20,4,-9,-9,-9,2,1,5,5,1,2
30001629,1,16,HBSOCREC,1,1,3,0,1,58,1,-1,7,5,0,-1,-1,-1,-1,20,4,-9,-9,-9,2,1,5,5,1,2
30001629,2,1,HBSOCREC,50,16,3,0,1,58,1,-1,5,0,0,-1,-1,-1,-1,22,2,-9,-9,-9,2,1,5,5,1,2
30001629,2,16,HBSOCREC,1,1,3,0,1,58,1,-1,5,0,0,-1,-1,-1,-1,22,2,-9,-9,-9,2,1,5,5,1,2
30001989,1,1,HBSHOP,40,11,4,0,1,72,1,-1,5,0,0,-1,-1,-1,-1,0,3,-9,-9,-9,4,1,5,5,1,2
