R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,HHFAMINC2,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,WEBUSE,TRIPPURP,WKFMHMXX
69,Yes,-1,0,5,Urban,SocialRecreation,30000931,-9.0,1,VisitFriends,Low,Home,2,Skip,4,0,35K-50K,1,Daily,HBSOCREC,Skip
69,Yes,-1,0,5,Urban,Shopping,30000931,-9.0,1,Errands,Low,VisitFriends,2,Skip,4,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,5,Urban,Shopping,30000931,-9.0,1,BuyGoods,Low,Errands,2,Skip,4,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,5,Urban,Home,30000931,-9.0,1,Home,Low,BuyGoods,2,Skip,4,0,35K-50K,1,Daily,HBSHOP,Skip
68,Yes,-1,0,6,Urban,Shopping,30000931,-9.0,2,BuyGoods,Low,Home,2,Skip,6,0,35K-50K,1,Daily,HBSHOP,Skip
68,Yes,-1,0,6,Urban,Shopping,30000931,-9.0,2,BuyGoods,Low,BuyGoods,2,Skip,6,0,35K-50K,1,Daily,NHB,Skip
68,Yes,-1,0,6,Urban,Home,30000931,-9.0,2,Home,Low,BuyGoods,2,Skip,6,0,35K-50K,1,Daily,HBSHOP,Skip
68,Yes,-1,0,6,Urban,Home,30000931,-9.0,2,Home,Low,Home,2,Skip,6,0,35K-50K,1,Daily,HBO,Skip
68,Yes,-1,0,6,Urban,Home,30000931,-9.0,2,Home,Low,Home,2,Skip,6,0,35K-50K,1,Daily,HBO,Skip
68,Yes,-1,0,6,Urban,Home,30000931,-9.0,2,Home,Low,Home,2,Skip,6,0,35K-50K,1,Daily,HBO,Skip
58,Yes,-1,5,7,Urban,Shopping,30001629,-9.0,1,BuyGoods,VeryLow,Home,2,Skip,4,0,15K-25K,1,Daily,HBSHOP,Skip
58,Yes,-1,5,7,Urban,Home,30001629,-9.0,1,Home,VeryLow,BuyGoods,2,Skip,4,0,15K-25K,1,Daily,HBSHOP,Skip
58,Yes,-1,5,7,Urban,SocialRecreation,30001629,-9.0,1,GoToGym,VeryLow,Home,2,Skip,4,0,15K-25K,1,Daily,HBSOCREC,Skip
58,Yes,-1,5,7,Urban,Home,30001629,-9.0,1,Home,VeryLow,GoToGym,2,Skip,4,0,15K-25K,1,Daily,HBSOCREC,Skip
58,Yes,-1,0,5,Urban,SocialRecreation,30001629,-9.0,2,GoToGym,VeryLow,Home,2,Skip,2,0,15K-25K,1,Daily,HBSOCREC,Skip
58,Yes,-1,0,5,Urban,Home,30001629,-9.0,2,Home,VeryLow,GoToGym,2,Skip,2,0,15K-25K,1,Daily,HBSOCREC,Skip
72,Yes,-1,0,5,Urban,Shopping,30001989,-9.0,1,BuyGoods,Low,Home,2,Skip,3,0,25K-35K,1,Daily,HBSHOP,Skip
72,Yes,-1,0,5,Urban,SocialRecreation,30001989,-9.0,1,VisitFriends,Low,BuyGoods,2,Skip,3,0,25K-35K,1,Daily,NHB,Skip
72,Yes,-1,0,5,Urban,Home,30001989,-9.0,1,Home,Low,VisitFriends,2,Skip,3,0,25K-35K,1,Daily,HBSOCREC,Skip
71,Yes,-1,0,5,Urban,Shopping,30001989,-9.0,2,BuyGoods,Low,Home,2,Skip,3,0,25K-35K,1,Daily,HBSHOP,Skip
71,Yes,-1,0,5,Urban,SocialRecreation,30001989,-9.0,2,VisitFriends,Low,BuyGoods,2,Skip,3,0,25K-35K,1,Daily,NHB,Skip
71,Yes,-1,0,5,Urban,Home,30001989,-9.0,2,Home,Low,VisitFriends,2,Skip,3,0,25K-35K,1,Daily,HBSOCREC,Skip
67,Yes,-1,0,0,Urban,Shopping,30002448,-9.0,1,BuyService,Low,Home,2,Skip,8,0,35K-50K,1,Daily,HBSHOP,Skip
67,Yes,-1,0,0,Urban,Home,30002448,-9.0,1,Home,Low,BuyService,2,Skip,8,0,35K-50K,1,Daily,HBSHOP,Skip
67,Yes,-1,0,0,Urban,SocialRecreation,30002448,-9.0,1,VisitFriends,Low,Home,2,Skip,8,0,35K-50K,1,Daily,HBSOCREC,Skip
67,Yes,-1,0,0,Urban,Home,30002448,-9.0,1,Home,Low,VisitFriends,2,Skip,8,0,35K-50K,1,Daily,HBSOCREC,Skip
67,Yes,-1,0,0,Urban,SocialRecreation,30002448,-9.0,1,SocialRecreational,Low,Home,2,Skip,8,0,35K-50K,1,Daily,HBSOCREC,Skip
67,Yes,-1,0,0,Urban,Home,30002448,-9.0,1,Home,Low,SocialRecreational,2,Skip,8,0,35K-50K,1,Daily,HBSOCREC,Skip
67,Yes,-1,0,0,Urban,Meals,30002448,-9.0,1,BuyMeals,Low,Home,2,Skip,8,0,35K-50K,1,Daily,HBSHOP,Skip
67,Yes,-1,0,0,Urban,Home,30002448,-9.0,1,Home,Low,BuyMeals,2,Skip,8,0,35K-50K,1,Daily,HBSHOP,Skip
28,Yes,-1,0,2,Urban,Shopping,30003254,-9.0,1,BuyGoods,High,Home,2,Skip,7,1,75K-100K,1,Daily,HBSHOP,Skip
28,Yes,-1,0,2,Urban,Meals,30003254,-9.0,1,BuyMeals,High,BuyGoods,2,Skip,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,-1,0,2,Urban,Shopping,30003254,-9.0,1,BuyGoods,High,BuyMeals,2,Skip,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,-1,0,2,Urban,TransportSomeone,30003254,-9.0,1,PickUpOrDropSomeone,High,BuyGoods,2,Skip,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,-1,0,2,Urban,Shopping,30003254,-9.0,1,BuyGoods,High,PickUpOrDropSomeone,2,Skip,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,-1,0,2,Urban,TransportSomeone,30003254,-9.0,1,PickUpOrDropSomeone,High,BuyGoods,2,Skip,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,-1,0,2,Urban,Home,30003254,-9.0,1,Home,High,PickUpOrDropSomeone,2,Skip,7,1,75K-100K,1,Daily,HBO,Skip
28,Yes,28,0,1,Urban,Shopping,30003254,11.18,2,BuyGoods,High,Home,2,Car,7,1,75K-100K,1,Daily,HBSHOP,Skip
28,Yes,28,0,1,Urban,Meals,30003254,11.18,2,BuyMeals,High,BuyGoods,2,Car,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,28,0,1,Urban,Shopping,30003254,11.18,2,BuyGoods,High,BuyMeals,2,Car,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,28,0,1,Urban,Medical,30003254,11.18,2,MedicalService,High,BuyGoods,2,Car,7,1,75K-100K,1,Daily,NHB,Skip
28,Yes,28,0,1,Urban,Home,30003254,11.18,2,Home,High,MedicalService,2,Car,7,1,75K-100K,1,Daily,HBO,Skip
28,Yes,28,0,1,Urban,Meals,30003254,11.18,2,BuyMeals,High,Home,2,Car,7,1,75K-100K,1,Daily,HBSHOP,Skip
28,Yes,28,0,1,Urban,Home,30003254,11.18,2,Home,High,BuyMeals,2,Car,7,1,75K-100K,1,Daily,HBSHOP,Skip
54,Yes,-1,7,0,Urban,Home,30005355,-9.0,1,Home,VeryLow,GoToGym,1,Skip,3,0,15K-25K,1,Daily,HBSOCREC,Skip
54,Yes,-1,7,0,Urban,Meals,30005355,-9.0,1,BuyMeals,VeryLow,Home,1,Skip,3,0,15K-25K,1,Daily,HBSHOP,Skip
54,Yes,-1,7,0,Urban,Home,30005355,-9.0,1,Home,VeryLow,BuyMeals,1,Skip,3,0,15K-25K,1,Daily,HBSHOP,Skip
44,Yes,-1,0,21,Urban,Home,30005927,-9.0,1,Home,VeryLow,Home,3,Skip,3,1,15K-25K,1,Daily,HBO,Skip
44,Yes,-1,0,21,Urban,Home,30005927,-9.0,1,Home,VeryLow,Home,3,Skip,3,1,15K-25K,1,Daily,HBO,Skip
44,Yes,-1,0,21,Urban,Home,30005927,-9.0,1,Home,VeryLow,Home,3,Skip,3,1,15K-25K,1,Daily,HBO,Skip
40,Yes,15,0,7,Urban,Home,30005927,4.67,2,Home,VeryLow,Home,3,SUV,3,1,15K-25K,1,Daily,HBO,Skip
40,Yes,15,0,7,Urban,Home,30005927,4.67,2,Home,VeryLow,Home,3,SUV,3,1,15K-25K,1,Daily,HBO,Skip
40,Yes,15,0,7,Urban,Home,30005927,4.67,2,Home,VeryLow,Home,3,SUV,3,1,15K-25K,1,Daily,HBO,Skip
14,Skip,-1,0,28,Urban,Home,30005927,-9.0,3,Home,VeryLow,Home,3,Skip,3,1,15K-25K,1,Daily,HBO,Skip
14,Skip,-1,0,28,Urban,Home,30005927,-9.0,3,Home,VeryLow,Home,3,Skip,3,1,15K-25K,1,Daily,HBO,Skip
14,Skip,-1,0,28,Urban,Home,30005927,-9.0,3,Home,VeryLow,Home,3,Skip,3,1,15K-25K,1,Daily,HBO,Skip
65,Yes,-1,0,10,Urban,Medical,30007984,-9.0,1,MedicalService,ExtremelyLow,Home,1,Skip,4,0,10K-15K,1,Daily,HBO,Skip
65,Yes,-1,0,10,Urban,Home,30007984,-9.0,1,Home,ExtremelyLow,MedicalService,1,Skip,4,0,10K-15K,1,Daily,HBO,Skip
65,Yes,-1,0,10,Urban,Meals,30007984,-9.0,1,BuyMeals,ExtremelyLow,Home,1,Skip,4,0,10K-15K,1,Daily,HBSHOP,Skip
65,Yes,-1,0,10,Urban,Home,30007984,-9.0,1,Home,ExtremelyLow,BuyMeals,1,Skip,4,0,10K-15K,1,Daily,HBSHOP,Skip
70,Yes,-1,0,6,Urban,SocialRecreation,30008132,-9.0,1,GoToGym,ExtremelyLow,Home,1,Skip,9,0,10K-15K,1,Daily,HBSOCREC,Skip
70,Yes,-1,0,6,Urban,SocialRecreation,30008132,-9.0,1,VisitFriends,ExtremelyLow,GoToGym,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,Shopping,30008132,-9.0,1,BuyService,ExtremelyLow,VisitFriends,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,SchoolOrReligious,30008132,-9.0,1,Religious,ExtremelyLow,BuyService,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,SocialRecreation,30008132,-9.0,1,VisitFriends,ExtremelyLow,Religious,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,Other,30008132,-9.0,1,Volunteer,ExtremelyLow,VisitFriends,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,Shopping,30008132,-9.0,1,BuyGoods,ExtremelyLow,Volunteer,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,Shopping,30008132,-9.0,1,BuyGoods,ExtremelyLow,BuyGoods,1,Skip,9,0,10K-15K,1,Daily,NHB,Skip
70,Yes,-1,0,6,Urban,Home,30008132,-9.0,1,Home,ExtremelyLow,BuyGoods,1,Skip,9,0,10K-15K,1,Daily,HBSHOP,Skip
65,Yes,-1,0,0,Rural,Shopping,30008783,-9.0,1,BuyGoods,High,Home,2,Skip,8,0,75K-100K,1,Daily,HBSHOP,Skip
65,Yes,-1,0,0,Rural,SchoolOrReligious,30008783,-9.0,1,Religious,High,BuyGoods,2,Skip,8,0,75K-100K,1,Daily,NHB,Skip
65,Yes,-1,0,0,Rural,Medical,30008783,-9.0,1,MedicalService,High,Religious,2,Skip,8,0,75K-100K,1,Daily,NHB,Skip
65,Yes,-1,0,0,Rural,Shopping,30008783,-9.0,1,BuyGoods,High,MedicalService,2,Skip,8,0,75K-100K,1,Daily,NHB,Skip
65,Yes,-1,0,0,Rural,Shopping,30008783,-9.0,1,BuyGoods,High,BuyGoods,2,Skip,8,0,75K-100K,1,Daily,NHB,Skip
65,Yes,-1,0,0,Rural,Shopping,30008783,-9.0,1,BuyGoods,High,BuyGoods,2,Skip,8,0,75K-100K,1,Daily,NHB,Skip
65,Yes,-1,0,0,Rural,Meals,30008783,-9.0,1,BuyMeals,High,BuyGoods,2,Skip,8,0,75K-100K,1,Daily,NHB,Skip
65,Yes,-1,0,0,Rural,Home,30008783,-9.0,1,Home,High,BuyMeals,2,Skip,8,0,75K-100K,1,Daily,HBSHOP,Skip
64,Yes,-1,0,0,Rural,Medical,30008783,-9.0,2,MedicalService,High,Home,2,Skip,5,0,75K-100K,1,Daily,HBO,Skip
64,Yes,-1,0,0,Rural,Shopping,30008783,-9.0,2,BuyGoods,High,MedicalService,2,Skip,5,0,75K-100K,1,Daily,NHB,Skip
64,Yes,-1,0,0,Rural,Home,30008783,-9.0,2,Home,High,BuyGoods,2,Skip,5,0,75K-100K,1,Daily,HBSHOP,Skip
64,Yes,-1,0,0,Rural,Other,30008783,-9.0,2,Volunteer,High,Home,2,Skip,5,0,75K-100K,1,Daily,HBO,Skip
64,Yes,-1,0,0,Rural,Home,30008783,-9.0,2,Home,High,Volunteer,2,Skip,5,0,75K-100K,1,Daily,HBO,Skip
23,Yes,17,0,4,Urban,WorkRelated,30009843,2596.27,1,Work,Low,Home,1,Car,3,1,35K-50K,1,Daily,HBW,OnceMonthMore
23,Yes,17,0,4,Urban,Shopping,30009843,2596.27,1,BuyGoods,Low,Work,1,Car,3,1,35K-50K,1,Daily,NHB,OnceMonthMore
23,Yes,17,0,4,Urban,Home,30009843,2596.27,1,Home,Low,BuyGoods,1,Car,3,1,35K-50K,1,Daily,HBSHOP,OnceMonthMore
65,No,-1,0,0,Urban,Shopping,30010005,-9.0,1,BuyService,ExtremelyLow,Home,1,Skip,2,0,10K-15K,5,Never,HBSHOP,Skip
65,No,-1,0,0,Urban,Home,30010005,-9.0,1,Home,ExtremelyLow,BuyService,1,Skip,2,0,10K-15K,5,Never,HBSHOP,Skip
71,Yes,-1,0,0,Urban,Meals,30011070,-9.0,1,BuyMeals,Low,Home,2,Skip,4,0,35K-50K,1,Daily,HBSHOP,Skip
71,Yes,-1,0,0,Urban,Shopping,30011070,-9.0,1,BuyService,Low,BuyMeals,2,Skip,4,0,35K-50K,1,Daily,NHB,Skip
71,Yes,-1,0,0,Urban,Shopping,30011070,-9.0,1,Errands,Low,BuyService,2,Skip,4,0,35K-50K,1,Daily,NHB,Skip
71,Yes,-1,0,0,Urban,Home,30011070,-9.0,1,Home,Low,Errands,2,Skip,4,0,35K-50K,1,Daily,HBO,Skip
70,Yes,-1,0,0,Urban,Meals,30011070,-9.0,2,BuyMeals,Low,Home,2,Skip,4,0,35K-50K,1,Daily,HBSHOP,Skip
70,Yes,-1,0,0,Urban,Shopping,30011070,-9.0,2,BuyService,Low,BuyMeals,2,Skip,4,0,35K-50K,1,Daily,NHB,Skip
70,Yes,-1,0,0,Urban,Shopping,30011070,-9.0,2,Errands,Low,BuyService,2,Skip,4,0,35K-50K,1,Daily,NHB,Skip
70,Yes,-1,0,0,Urban,Home,30011070,-9.0,2,Home,Low,Errands,2,Skip,4,0,35K-50K,1,Daily,HBO,Skip
48,Yes,10,2,2,Urban,WorkRelated,30014360,5.33,1,Work,VeryLow,Home,2,Car,2,2,15K-25K,1,Daily,HBW,Skip
48,Yes,10,2,2,Urban,Home,30014360,5.33,1,Home,VeryLow,Work,2,Car,2,2,15K-25K,1,Daily,HBW,Skip
48,Yes,10,2,2,Urban,WorkRelated,30014360,1.49,2,Work,VeryLow,Home,2,Car,2,2,15K-25K,1,Daily,HBW,Skip
48,Yes,10,2,2,Urban,Home,30014360,1.49,2,Home,VeryLow,Work,2,Car,2,2,15K-25K,1,Daily,HBW,Skip
65,Yes,-1,0,3,Urban,Shopping,30014500,-9.0,1,BuyGoods,Low,GoToGym,1,Skip,3,0,25K-35K,1,Daily,NHB,Skip
65,Yes,-1,0,3,Urban,Shopping,30014500,-9.0,1,BuyGoods,Low,BuyGoods,1,Skip,3,0,25K-35K,1,Daily,NHB,Skip
65,Yes,-1,0,3,Urban,Home,30014500,-9.0,1,Home,Low,BuyGoods,1,Skip,3,0,25K-35K,1,Daily,HBSHOP,Skip
92,Yes,-1,0,20,Urban,Home,30017207,-9.0,1,Home,High,Home,1,Skip,2,0,100K-125K,1,Daily,HBO,Skip
92,Yes,-1,0,20,Urban,Home,30017207,-9.0,1,Home,High,Home,1,Skip,2,0,100K-125K,1,Daily,HBO,Skip
53,Yes,-1,0,7,Urban,Shopping,30017875,-9.0,1,BuyGoods,High,Home,2,Skip,2,1,125K-150K,1,Daily,HBSHOP,Skip
53,Yes,-1,0,7,Urban,Home,30017875,-9.0,1,Home,High,BuyGoods,2,Skip,2,1,125K-150K,1,Daily,HBSHOP,Skip
53,Yes,-8,2,0,Urban,WorkRelated,30017875,0.39,2,WorkRelated,High,Home,2,Car,2,1,125K-150K,1,Daily,HBW,Skip
53,Yes,-8,2,0,Urban,Home,30017875,0.39,2,Home,High,WorkRelated,2,Car,2,1,125K-150K,1,Daily,HBW,Skip
69,Yes,-1,0,4,Urban,SchoolOrReligious,30018139,-9.0,1,Religious,Low,Home,1,Skip,11,0,35K-50K,1,Daily,HBO,Skip
69,Yes,-1,0,4,Urban,TransportSomeone,30018139,-9.0,1,PickUpOrDropSomeone,Low,Religious,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,SocialRecreation,30018139,-9.0,1,VisitFriends,Low,PickUpOrDropSomeone,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,TransportSomeone,30018139,-9.0,1,PickUpOrDropSomeone,Low,VisitFriends,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,Shopping,30018139,-9.0,1,BuyService,Low,PickUpOrDropSomeone,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,Shopping,30018139,-9.0,1,BuyGoods,Low,BuyService,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,Shopping,30018139,-9.0,1,Errands,Low,BuyGoods,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,Home,30018139,-9.0,1,Home,Low,Errands,1,Skip,11,0,35K-50K,1,Daily,HBO,Skip
69,Yes,-1,0,4,Urban,Shopping,30018139,-9.0,1,BuyGoods,Low,Home,1,Skip,11,0,35K-50K,1,Daily,HBSHOP,Skip
69,Yes,-1,0,4,Urban,Shopping,30018139,-9.0,1,BuyGoods,Low,BuyGoods,1,Skip,11,0,35K-50K,1,Daily,NHB,Skip
69,Yes,-1,0,4,Urban,Home,30018139,-9.0,1,Home,Low,BuyGoods,1,Skip,11,0,35K-50K,1,Daily,HBSHOP,Skip
37,Yes,8,0,14,Urban,Shopping,30020036,3.77,1,BuyGoods,High,Home,5,Car,4,1,75K-100K,1,Daily,HBSHOP,Skip
37,Yes,8,0,14,Urban,Shopping,30020036,3.77,1,BuyGoods,High,BuyGoods,5,Car,4,1,75K-100K,1,Daily,NHB,Skip
37,Yes,8,0,14,Urban,Shopping,30020036,3.77,1,BuyGoods,High,BuyGoods,5,Car,4,1,75K-100K,1,Daily,NHB,Skip
37,Yes,8,0,14,Urban,Home,30020036,3.77,1,Home,High,BuyGoods,5,Car,4,1,75K-100K,1,Daily,HBSHOP,Skip
9,Skip,-1,0,2,Urban,Shopping,30020036,-9.0,3,BuyGoods,High,Home,5,Skip,4,1,75K-100K,1,Daily,HBSHOP,Skip
9,Skip,-1,0,2,Urban,Shopping,30020036,-9.0,3,BuyGoods,High,BuyGoods,5,Skip,4,1,75K-100K,1,Daily,NHB,Skip
9,Skip,-1,0,2,Urban,Shopping,30020036,-9.0,3,BuyGoods,High,BuyGoods,5,Skip,4,1,75K-100K,1,Daily,NHB,Skip
9,Skip,-1,0,2,Urban,Home,30020036,-9.0,3,Home,High,BuyGoods,5,Skip,4,1,75K-100K,1,Daily,HBSHOP,Skip
67,No,-1,0,0,Urban,Shopping,30020036,-9.0,5,BuyGoods,High,Home,5,Skip,4,1,75K-100K,1,Daily,HBSHOP,Skip
67,No,-1,0,0,Urban,Shopping,30020036,-9.0,5,BuyGoods,High,BuyGoods,5,Skip,4,1,75K-100K,1,Daily,NHB,Skip
67,No,-1,0,0,Urban,Shopping,30020036,-9.0,5,BuyGoods,High,BuyGoods,5,Skip,4,1,75K-100K,1,Daily,NHB,Skip
67,No,-1,0,0,Urban,Home,30020036,-9.0,5,Home,High,BuyGoods,5,Skip,4,1,75K-100K,1,Daily,HBSHOP,Skip
35,Yes,45,0,7,Urban,Shopping,30020822,7.25,1,BuyGoods,High,Home,2,Car,5,2,75K-100K,1,Daily,HBSHOP,Skip
35,Yes,45,0,7,Urban,WorkRelated,30020822,7.25,1,Work,High,BuyGoods,2,Car,5,2,75K-100K,1,Daily,NHB,Skip
35,Yes,45,0,7,Urban,Meals,30020822,7.25,1,BuyMeals,High,Work,2,Car,5,2,75K-100K,1,Daily,NHB,Skip
35,Yes,45,0,7,Urban,WorkRelated,30020822,7.25,1,Work,High,BuyMeals,2,Car,5,2,75K-100K,1,Daily,NHB,Skip
35,Yes,45,0,7,Urban,Home,30020822,7.25,1,Home,High,Work,2,Car,5,2,75K-100K,1,Daily,HBW,Skip
45,Yes,-1,0,6,Urban,SchoolOrReligious,30020822,-9.0,2,GoSchoolAsStudent,High,Home,2,NotAscertained,5,2,75K-100K,1,Daily,HBO,Skip
45,Yes,-1,0,6,Urban,Shopping,30020822,-9.0,2,Errands,High,GoSchoolAsStudent,2,NotAscertained,5,2,75K-100K,1,Daily,NHB,Skip
45,Yes,-1,0,6,Urban,Shopping,30020822,-9.0,2,BuyGoods,High,Errands,2,NotAscertained,5,2,75K-100K,1,Daily,NHB,Skip
45,Yes,-1,0,6,Urban,Shopping,30020822,-9.0,2,BuyService,High,BuyGoods,2,NotAscertained,5,2,75K-100K,1,Daily,NHB,Skip
45,Yes,-1,0,6,Urban,Home,30020822,-9.0,2,Home,High,BuyService,2,NotAscertained,5,2,75K-100K,1,Daily,HBSHOP,Skip
56,Yes,90,1,3,Urban,WorkRelated,30020915,68.16,1,Work,High,Home,2,Car,5,2,morethan200K,1,Daily,HBW,Skip
56,Yes,90,1,3,Urban,Home,30020915,68.16,1,Home,High,Work,2,Car,5,2,morethan200K,1,Daily,HBW,Skip
56,Yes,90,1,3,Urban,SocialRecreation,30020915,68.16,1,SocialRecreational,High,Home,2,Car,5,2,morethan200K,1,Daily,HBSOCREC,Skip
56,Yes,90,1,3,Urban,Meals,30020915,68.16,1,BuyMeals,High,SocialRecreational,2,Car,5,2,morethan200K,1,Daily,NHB,Skip
56,Yes,90,1,3,Urban,Home,30020915,68.16,1,Home,High,BuyMeals,2,Car,5,2,morethan200K,1,Daily,HBSHOP,Skip
57,Yes,-1,1,3,Urban,Meals,30020915,-9.0,2,BuyMeals,High,Home,2,NotAscertained,7,2,morethan200K,1,Daily,HBSHOP,Skip
57,Yes,-1,1,3,Urban,Home,30020915,-9.0,2,WFH,High,BuyMeals,2,NotAscertained,7,2,morethan200K,1,Daily,HBSHOP,Skip
57,Yes,-1,1,3,Urban,WorkRelated,30020915,-9.0,2,WorkRelated,High,WFH,2,NotAscertained,7,2,morethan200K,1,Daily,HBW,Skip
57,Yes,-1,1,3,Urban,Home,30020915,-9.0,2,Home,High,WorkRelated,2,NotAscertained,7,2,morethan200K,1,Daily,HBW,Skip
57,Yes,-1,1,3,Urban,SocialRecreation,30020915,-9.0,2,SocialRecreational,High,Home,2,NotAscertained,7,2,morethan200K,1,Daily,HBSOCREC,Skip
57,Yes,-1,1,3,Urban,Meals,30020915,-9.0,2,BuyMeals,High,SocialRecreational,2,NotAscertained,7,2,morethan200K,1,Daily,NHB,Skip
57,Yes,-1,1,3,Urban,Home,30020915,-9.0,2,Home,High,BuyMeals,2,NotAscertained,7,2,morethan200K,1,Daily,HBSHOP,Skip
