R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,HHFAMINC2,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX
55,Yes,15,0,20,Urban,EatMeal,10000045,2,1,GetMeal,0,Home,1,Car,5,1,15K-20K,Skip,HBSHOP,Skip
55,Yes,15,0,20,Urban,Family,10000045,2,1,BuyService,0,GetMeal,1,Car,5,1,15K-20K,Skip,NHB,Skip
55,Yes,15,0,20,Urban,ToWork,10000045,2,1,GoToWork,0,BuyService,1,Car,5,1,15K-20K,Skip,NHB,Skip
55,Yes,15,0,20,Urban,EatMeal,10000045,2,1,GetMeal,0,GoToWork,1,Car,5,1,15K-20K,Skip,NHB,Skip
55,Yes,15,0,20,Urban,ReturnHome,10000045,2,1,Home,0,GetMeal,1,Car,5,1,15K-20K,Skip,HBSHOP,Skip
44,Yes,5,3,7,Urban,Family,10001574,0,1,FamilyPersonalBusiness,2,Home,4,Car,12,3,55K-60K,AlmostEveryday,HBO,Skip
44,Yes,5,3,7,Urban,EatMeal,10001574,0,1,GetMeal,2,FamilyPersonalBusiness,4,Car,12,3,55K-60K,AlmostEveryday,NHB,Skip
44,Yes,5,3,7,Urban,ServePassenger,10001574,0,1,TransportSomeone,2,GetMeal,4,Car,12,3,55K-60K,AlmostEveryday,NHB,Skip
44,Yes,5,3,7,Urban,ReturnHome,10001574,0,1,Home,2,TransportSomeone,4,Car,12,3,55K-60K,AlmostEveryday,HBO,Skip
44,Yes,5,3,7,Urban,Family,10001574,0,1,FamilyPersonalBusiness,2,Home,4,Car,12,3,55K-60K,AlmostEveryday,HBO,Skip
44,Yes,5,3,7,Urban,Shopping,10001574,0,1,BuyGoods,2,FamilyPersonalBusiness,4,Car,12,3,55K-60K,AlmostEveryday,NHB,Skip
44,Yes,5,3,7,Urban,ReturnHome,10001574,0,1,Home,2,BuyGoods,4,Car,12,3,55K-60K,AlmostEveryday,HBSHOP,Skip
44,Yes,5,3,7,Urban,ServePassenger,10001574,0,1,TransportSomeone,2,Home,4,Car,12,3,55K-60K,AlmostEveryday,HBO,Skip
44,Yes,5,3,7,Urban,EatMeal,10001574,0,1,GetMeal,2,TransportSomeone,4,Car,12,3,55K-60K,AlmostEveryday,NHB,Skip
44,Yes,5,3,7,Urban,ReturnHome,10001574,0,1,Home,2,GetMeal,4,Car,12,3,55K-60K,AlmostEveryday,HBSHOP,Skip
