R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX,HHFAMINC2
55,0,15,0,20,0,0,10000045,2,1,0,0,1,0,5,1,0,0,0,0,0
55,0,15,0,20,0,1,10000045,2,1,1,1,1,0,5,1,0,0,1,0,0
55,0,15,0,20,0,2,10000045,2,1,2,2,1,0,5,1,0,0,1,0,0
55,0,15,0,20,0,0,10000045,2,1,0,3,1,0,5,1,0,0,1,0,0
55,0,15,0,20,0,3,10000045,2,1,3,1,1,0,5,1,0,0,0,0,0
44,0,5,3,7,0,1,10001574,0,1,4,0,4,0,12,3,1,1,2,0,2
44,0,5,3,7,0,0,10001574,0,1,0,4,4,0,12,3,1,1,1,0,2
44,0,5,3,7,0,4,10001574,0,1,5,1,4,0,12,3,1,1,1,0,2
44,0,5,3,7,0,3,10001574,0,1,3,5,4,0,12,3,1,1,2,0,2
44,0,5,3,7,0,1,10001574,0,1,4,0,4,0,12,3,1,1,2,0,2
44,0,5,3,7,0,5,10001574,0,1,6,4,4,0,12,3,1,1,1,0,2
44,0,5,3,7,0,3,10001574,0,1,3,6,4,0,12,3,1,1,0,0,2
44,0,5,3,7,0,4,10001574,0,1,5,0,4,0,12,3,1,1,2,0,2
44,0,5,3,7,0,0,10001574,0,1,0,5,4,0,12,3,1,1,1,0,2
44,0,5,3,7,0,3,10001574,0,1,3,1,4,0,12,3,1,1,0,0,2
44,0,5,3,7,0,0,10001574,0,1,0,0,4,0,12,3,1,1,0,0,2
44,0,5,3,7,0,3,10001574,0,1,3,1,4,0,12,3,1,1,0,0,2
42,0,10,0,0,0,6,10001574,3,2,7,0,4,0,4,3,1,1,3,0,2
42,0,10,0,0,0,0,10001574,3,2,8,7,4,0,4,3,1,1,1,0,2
42,0,10,0,0,0,0,10001574,3,2,0,8,4,0,4,3,1,1,1,0,2
42,0,10,0,0,0,3,10001574,3,2,3,1,4,0,4,3,1,1,0,0,2
14,1,-1,-1,-1,0,6,10001574,-1,3,7,0,4,1,4,3,1,0,3,0,2
14,1,-1,-1,-1,0,0,10001574,-1,3,8,7,4,1,4,3,1,0,1,0,2
14,1,-1,-1,-1,0,0,10001574,-1,3,0,8,4,1,4,3,1,0,1,0,2
14,1,-1,-1,-1,0,3,10001574,-1,3,3,1,4,1,4,3,1,0,0,0,2
17,0,20,7,7,0,1,10001574,7,4,9,0,4,0,5,3,1,1,2,0,2
17,0,20,7,7,0,0,10001574,7,4,0,9,4,0,5,3,1,1,1,0,2
17,0,20,7,7,0,2,10001574,7,4,2,1,4,0,5,3,1,1,1,0,2
17,0,20,7,7,0,0,10001574,7,4,0,3,4,0,5,3,1,1,1,0,2
17,0,20,7,7,0,3,10001574,7,4,3,1,4,0,5,3,1,1,0,0,2
39,0,-1,0,0,0,4,10003738,-1,1,10,0,2,1,4,1,0,0,2,0,0
39,0,-1,0,0,0,7,10003738,-1,1,11,10,2,1,4,1,0,0,1,0,0
39,0,-1,0,0,0,4,10003738,-1,1,12,11,2,1,4,1,0,0,1,0,0
39,0,-1,0,0,0,3,10003738,-1,1,3,12,2,1,4,1,0,0,2,0,0
17,0,-1,0,10,0,8,10003738,-1,2,13,0,2,1,4,1,0,0,2,0,0
17,0,-1,0,10,0,7,10003738,-1,2,11,13,2,1,4,1,0,0,1,0,0
17,0,-1,0,10,0,4,10003738,-1,2,12,11,2,1,4,1,0,0,1,0,0
17,0,-1,0,10,0,3,10003738,-1,2,3,12,2,1,4,1,0,0,2,0,0
77,0,-1,0,3,0,5,10004007,-1,1,6,0,1,1,10,0,2,2,0,0,0
77,0,-1,0,3,0,1,10004007,-1,1,9,6,1,1,10,0,2,2,1,0,0
77,0,-1,0,3,0,5,10004007,-1,1,6,9,1,1,10,0,2,2,1,0,0
77,0,-1,0,3,0,5,10004007,-1,1,6,6,1,1,10,0,2,2,1,0,0
77,0,-1,0,3,0,5,10004007,-1,1,6,6,1,1,10,0,2,2,1,0,0
