R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,WEBUSE.1,TRIPPURP,WKFMHMXX,HHFAMINC2
69,0,-1,0,5,0,0,30000931,-9.0,1,0,0,2,0,4,0,0,1,0,0,0,0
69,0,-1,0,5,0,1,30000931,-9.0,1,1,1,2,0,4,0,0,1,0,1,0,0
69,0,-1,0,5,0,1,30000931,-9.0,1,2,2,2,0,4,0,0,1,0,1,0,0
69,0,-1,0,5,0,2,30000931,-9.0,1,3,3,2,0,4,0,0,1,0,2,0,0
68,0,-1,0,6,0,1,30000931,-9.0,2,2,0,2,0,6,0,0,1,0,2,0,0
68,0,-1,0,6,0,1,30000931,-9.0,2,2,3,2,0,6,0,0,1,0,1,0,0
68,0,-1,0,6,0,2,30000931,-9.0,2,3,3,2,0,6,0,0,1,0,2,0,0
68,0,-1,0,6,0,2,30000931,-9.0,2,3,0,2,0,6,0,0,1,0,3,0,0
68,0,-1,0,6,0,2,30000931,-9.0,2,3,0,2,0,6,0,0,1,0,3,0,0
68,0,-1,0,6,0,2,30000931,-9.0,2,3,0,2,0,6,0,0,1,0,3,0,0
58,0,-1,5,7,0,1,30001629,-9.0,1,2,0,2,0,4,0,1,1,0,2,0,0
58,0,-1,5,7,0,2,30001629,-9.0,1,3,3,2,0,4,0,1,1,0,2,0,0
58,0,-1,5,7,0,0,30001629,-9.0,1,4,0,2,0,4,0,1,1,0,0,0,0
58,0,-1,5,7,0,2,30001629,-9.0,1,3,4,2,0,4,0,1,1,0,0,0,0
58,0,-1,0,5,0,0,30001629,-9.0,2,4,0,2,0,2,0,1,1,0,0,0,0
58,0,-1,0,5,0,2,30001629,-9.0,2,3,4,2,0,2,0,1,1,0,0,0,0
72,0,-1,0,5,0,1,30001989,-9.0,1,2,0,2,0,3,0,2,1,0,2,0,0
72,0,-1,0,5,0,0,30001989,-9.0,1,0,3,2,0,3,0,2,1,0,1,0,0
72,0,-1,0,5,0,2,30001989,-9.0,1,3,1,2,0,3,0,2,1,0,0,0,0
71,0,-1,0,5,0,1,30001989,-9.0,2,2,0,2,0,3,0,2,1,0,2,0,0
71,0,-1,0,5,0,0,30001989,-9.0,2,0,3,2,0,3,0,2,1,0,1,0,0
71,0,-1,0,5,0,2,30001989,-9.0,2,3,1,2,0,3,0,2,1,0,0,0,0
67,0,-1,0,0,0,1,30002448,-9.0,1,5,0,2,0,8,0,0,1,0,2,0,0
67,0,-1,0,0,0,2,30002448,-9.0,1,3,5,2,0,8,0,0,1,0,2,0,0
67,0,-1,0,0,0,0,30002448,-9.0,1,0,0,2,0,8,0,0,1,0,0,0,0
67,0,-1,0,0,0,2,30002448,-9.0,1,3,1,2,0,8,0,0,1,0,0,0,0
67,0,-1,0,0,0,0,30002448,-9.0,1,6,0,2,0,8,0,0,1,0,0,0,0
67,0,-1,0,0,0,2,30002448,-9.0,1,3,6,2,0,8,0,0,1,0,0,0,0
67,0,-1,0,0,0,3,30002448,-9.0,1,7,0,2,0,8,0,0,1,0,2,0,0
67,0,-1,0,0,0,2,30002448,-9.0,1,3,7,2,0,8,0,0,1,0,2,0,0
28,0,-1,0,2,0,1,30003254,-9.0,1,2,0,2,0,7,1,3,1,0,2,0,2
28,0,-1,0,2,0,3,30003254,-9.0,1,7,3,2,0,7,1,3,1,0,1,0,2
28,0,-1,0,2,0,1,30003254,-9.0,1,2,7,2,0,7,1,3,1,0,1,0,2
28,0,-1,0,2,0,4,30003254,-9.0,1,8,3,2,0,7,1,3,1,0,1,0,2
28,0,-1,0,2,0,1,30003254,-9.0,1,2,8,2,0,7,1,3,1,0,1,0,2
28,0,-1,0,2,0,4,30003254,-9.0,1,8,3,2,0,7,1,3,1,0,1,0,2
28,0,-1,0,2,0,2,30003254,-9.0,1,3,8,2,0,7,1,3,1,0,3,0,2
28,0,28,0,1,0,1,30003254,11.18,2,2,0,2,1,7,1,3,1,0,2,0,2
28,0,28,0,1,0,3,30003254,11.18,2,7,3,2,1,7,1,3,1,0,1,0,2
28,0,28,0,1,0,1,30003254,11.18,2,2,7,2,1,7,1,3,1,0,1,0,2
28,0,28,0,1,0,5,30003254,11.18,2,9,3,2,1,7,1,3,1,0,1,0,2
28,0,28,0,1,0,2,30003254,11.18,2,3,9,2,1,7,1,3,1,0,3,0,2
28,0,28,0,1,0,3,30003254,11.18,2,7,0,2,1,7,1,3,1,0,2,0,2
28,0,28,0,1,0,2,30003254,11.18,2,3,7,2,1,7,1,3,1,0,2,0,2
54,0,-1,7,0,0,2,30005355,-9.0,1,3,4,1,0,3,0,1,1,0,0,0,0
54,0,-1,7,0,0,3,30005355,-9.0,1,7,0,1,0,3,0,1,1,0,2,0,0
54,0,-1,7,0,0,2,30005355,-9.0,1,3,7,1,0,3,0,1,1,0,2,0,0
44,0,-1,0,21,0,2,30005927,-9.0,1,3,0,3,0,3,1,1,1,0,3,0,0
44,0,-1,0,21,0,2,30005927,-9.0,1,3,0,3,0,3,1,1,1,0,3,0,0
44,0,-1,0,21,0,2,30005927,-9.0,1,3,0,3,0,3,1,1,1,0,3,0,0
40,0,15,0,7,0,2,30005927,4.67,2,3,0,3,2,3,1,1,1,0,3,0,0
40,0,15,0,7,0,2,30005927,4.67,2,3,0,3,2,3,1,1,1,0,3,0,0
40,0,15,0,7,0,2,30005927,4.67,2,3,0,3,2,3,1,1,1,0,3,0,0
14,1,-1,0,28,0,2,30005927,-9.0,3,3,0,3,0,3,1,1,1,0,3,0,0
14,1,-1,0,28,0,2,30005927,-9.0,3,3,0,3,0,3,1,1,1,0,3,0,0
14,1,-1,0,28,0,2,30005927,-9.0,3,3,0,3,0,3,1,1,1,0,3,0,0
65,0,-1,0,10,0,5,30007984,-9.0,1,9,0,1,0,4,0,4,1,0,3,0,0
65,0,-1,0,10,0,2,30007984,-9.0,1,3,9,1,0,4,0,4,1,0,3,0,0
65,0,-1,0,10,0,3,30007984,-9.0,1,7,0,1,0,4,0,4,1,0,2,0,0
65,0,-1,0,10,0,2,30007984,-9.0,1,3,7,1,0,4,0,4,1,0,2,0,0
70,0,-1,0,6,0,0,30008132,-9.0,1,4,0,1,0,9,0,4,1,0,0,0,0
70,0,-1,0,6,0,0,30008132,-9.0,1,0,4,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,1,30008132,-9.0,1,5,1,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,6,30008132,-9.0,1,10,5,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,0,30008132,-9.0,1,0,10,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,7,30008132,-9.0,1,11,1,1,0,9,0,4,1,0,1,0,0
