WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
1,HBSHOP,1,20,VeryLow,15,Home,Skip,Skip,EatMeal,Car,GetMeal,10000045,Urban,Yes,0,15K-20K,55,1,5,2
1,NHB,1,20,VeryLow,15,GetMeal,Skip,Skip,Family,Car,BuyService,10000045,Urban,Yes,0,15K-20K,55,1,5,2
1,NHB,1,20,VeryLow,15,BuyService,Skip,Skip,ToWork,Car,GoToWork,10000045,Urban,Yes,0,15K-20K,55,1,5,2
1,NHB,1,20,VeryLow,15,GoToWork,Skip,Skip,EatMeal,Car,GetMeal,10000045,Urban,Yes,0,15K-20K,55,1,5,2
1,HBSHOP,1,20,VeryLow,15,GetMeal,Skip,Skip,ReturnHome,Car,Home,10000045,Urban,Yes,0,15K-20K,55,1,5,2
3,HBO,4,7,High,5,Home,Skip,AlmostEveryday,Family,Car,FamilyPersonalBusiness,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,NHB,4,7,High,5,FamilyPersonalBusiness,Skip,AlmostEveryday,EatMeal,Car,GetMeal,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,NHB,4,7,High,5,GetMeal,Skip,AlmostEveryday,ServePassenger,Car,TransportSomeone,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,HBO,4,7,High,5,TransportSomeone,Skip,AlmostEveryday,ReturnHome,Car,Home,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,HBO,4,7,High,5,Home,Skip,AlmostEveryday,Family,Car,FamilyPersonalBusiness,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,NHB,4,7,High,5,FamilyPersonalBusiness,Skip,AlmostEveryday,Shopping,Car,BuyGoods,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,HBSHOP,4,7,High,5,BuyGoods,Skip,AlmostEveryday,ReturnHome,Car,Home,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,HBO,4,7,High,5,Home,Skip,AlmostEveryday,ServePassenger,Car,TransportSomeone,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,NHB,4,7,High,5,TransportSomeone,Skip,AlmostEveryday,EatMeal,Car,GetMeal,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,HBSHOP,4,7,High,5,GetMeal,Skip,AlmostEveryday,ReturnHome,Car,Home,10001574,Urban,Yes,3,55K-60K,44,1,12,0
3,HBSHOP,4,7,High,5,Home,Skip,AlmostEveryday,EatMeal,Car,GetMeal,10001574,Urban,Yes,3,55K-60K,44,1,12,0
