WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
0,HBSOCREC,2,5,Low,-1,Home,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30000931,Urban,Yes,0,35K-50K,69,1,4,-9.0
0,NHB,2,5,Low,-1,VisitFriends,Skip,1,Daily,Shopping,Skip,Errands,30000931,Urban,Yes,0,35K-50K,69,1,4,-9.0
0,NHB,2,5,Low,-1,Errands,Skip,1,Daily,Shopping,Skip,BuyGoods,30000931,Urban,Yes,0,35K-50K,69,1,4,-9.0
0,HBSHOP,2,5,Low,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30000931,Urban,Yes,0,35K-50K,69,1,4,-9.0
0,HBSHOP,2,6,Low,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30000931,Urban,Yes,0,35K-50K,68,2,6,-9.0
0,NHB,2,6,Low,-1,BuyGoods,Skip,1,Daily,Shopping,Skip,BuyGoods,30000931,Urban,Yes,0,35K-50K,68,2,6,-9.0
0,HBSHOP,2,6,Low,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30000931,Urban,Yes,0,35K-50K,68,2,6,-9.0
0,HBO,2,6,Low,-1,Home,Skip,1,Daily,Home,Skip,Home,30000931,Urban,Yes,0,35K-50K,68,2,6,-9.0
0,HBO,2,6,Low,-1,Home,Skip,1,Daily,Home,Skip,Home,30000931,Urban,Yes,0,35K-50K,68,2,6,-9.0
0,HBO,2,6,Low,-1,Home,Skip,1,Daily,Home,Skip,Home,30000931,Urban,Yes,0,35K-50K,68,2,6,-9.0
0,HBSHOP,2,7,VeryLow,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30001629,Urban,Yes,5,15K-25K,58,1,4,-9.0
0,HBSHOP,2,7,VeryLow,-1,BuyGoods,Skip,1,Daily,Home,Skip,Home,30001629,Urban,Yes,5,15K-25K,58,1,4,-9.0
0,HBSOCREC,2,7,VeryLow,-1,Home,Skip,1,Daily,SocialRecreation,Skip,GoToGym,30001629,Urban,Yes,5,15K-25K,58,1,4,-9.0
0,HBSOCREC,2,7,VeryLow,-1,GoToGym,Skip,1,Daily,Home,Skip,Home,30001629,Urban,Yes,5,15K-25K,58,1,4,-9.0
0,HBSOCREC,2,5,VeryLow,-1,Home,Skip,1,Daily,SocialRecreation,Skip,GoToGym,30001629,Urban,Yes,0,15K-25K,58,2,2,-9.0
0,HBSOCREC,2,5,VeryLow,-1,GoToGym,Skip,1,Daily,Home,Skip,Home,30001629,Urban,Yes,0,15K-25K,58,2,2,-9.0
0,HBSHOP,2,5,Low,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30001989,Urban,Yes,0,25K-35K,72,1,3,-9.0
0,NHB,2,5,Low,-1,BuyGoods,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30001989,Urban,Yes,0,25K-35K,72,1,3,-9.0
0,HBSOCREC,2,5,Low,-1,VisitFriends,Skip,1,Daily,Home,Skip,Home,30001989,Urban,Yes,0,25K-35K,72,1,3,-9.0
0,HBSHOP,2,5,Low,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30001989,Urban,Yes,0,25K-35K,71,2,3,-9.0
0,NHB,2,5,Low,-1,BuyGoods,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30001989,Urban,Yes,0,25K-35K,71,2,3,-9.0
0,HBSOCREC,2,5,Low,-1,VisitFriends,Skip,1,Daily,Home,Skip,Home,30001989,Urban,Yes,0,25K-35K,71,2,3,-9.0
0,HBSHOP,2,0,Low,-1,Home,Skip,1,Daily,Shopping,Skip,BuyService,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSHOP,2,0,Low,-1,BuyService,Skip,1,Daily,Home,Skip,Home,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSOCREC,2,0,Low,-1,Home,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSOCREC,2,0,Low,-1,VisitFriends,Skip,1,Daily,Home,Skip,Home,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSOCREC,2,0,Low,-1,Home,Skip,1,Daily,SocialRecreation,Skip,SocialRecreational,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSOCREC,2,0,Low,-1,SocialRecreational,Skip,1,Daily,Home,Skip,Home,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSHOP,2,0,Low,-1,Home,Skip,1,Daily,Meals,Skip,BuyMeals,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
0,HBSHOP,2,0,Low,-1,BuyMeals,Skip,1,Daily,Home,Skip,Home,30002448,Urban,Yes,0,35K-50K,67,1,8,-9.0
1,HBSHOP,2,2,High,-1,Home,Skip,1,Daily,Shopping,Skip,BuyGoods,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,NHB,2,2,High,-1,BuyGoods,Skip,1,Daily,Meals,Skip,BuyMeals,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,NHB,2,2,High,-1,BuyMeals,Skip,1,Daily,Shopping,Skip,BuyGoods,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,NHB,2,2,High,-1,BuyGoods,Skip,1,Daily,TransportSomeone,Skip,PickUpOrDropSomeone,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,NHB,2,2,High,-1,PickUpOrDropSomeone,Skip,1,Daily,Shopping,Skip,BuyGoods,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,NHB,2,2,High,-1,BuyGoods,Skip,1,Daily,TransportSomeone,Skip,PickUpOrDropSomeone,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,HBO,2,2,High,-1,PickUpOrDropSomeone,Skip,1,Daily,Home,Skip,Home,30003254,Urban,Yes,0,75K-100K,28,1,7,-9.0
1,HBSHOP,2,1,High,28,Home,Skip,1,Daily,Shopping,Car,BuyGoods,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
1,NHB,2,1,High,28,BuyGoods,Skip,1,Daily,Meals,Car,BuyMeals,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
