HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10000045,1,Urban,Home,Yes,GetMeal,EatMeal,15K-20K,HBSHOP,1,55,Alone,Skip,Skip,Car,2,5,20,0,6.0,15,1,0
10000045,1,Urban,GetMeal,Yes,BuyService,Family,15K-20K,NHB,1,55,Alone,Skip,Skip,Car,2,5,20,0,6.0,15,1,0
10000045,1,Urban,BuyService,Yes,GoToWork,ToWork,15K-20K,NHB,1,55,Alone,Skip,Skip,Car,2,5,20,0,6.0,15,1,0
10000045,1,Urban,GoToWork,Yes,GetMeal,EatMeal,15K-20K,NHB,1,55,Alone,Skip,Skip,Car,2,5,20,0,6.0,15,1,0
10000045,1,Urban,GetMeal,Yes,Home,ReturnHome,15K-20K,HBSHOP,1,55,Alone,Skip,Skip,Car,2,5,20,0,6.0,15,1,0
10001574,1,Urban,Home,Yes,FamilyPersonalBusiness,Family,55K-60K,HBO,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,FamilyPersonalBusiness,Yes,GetMeal,EatMeal,55K-60K,NHB,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,GetMeal,Yes,TransportSomeone,ServePassenger,55K-60K,NHB,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,TransportSomeone,Yes,Home,ReturnHome,55K-60K,HBO,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,Home,Yes,FamilyPersonalBusiness,Family,55K-60K,HBO,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,FamilyPersonalBusiness,Yes,BuyGoods,Shopping,55K-60K,NHB,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,BuyGoods,Yes,Home,ReturnHome,55K-60K,HBSHOP,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,Home,Yes,TransportSomeone,ServePassenger,55K-60K,HBO,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,TransportSomeone,Yes,GetMeal,EatMeal,55K-60K,NHB,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
10001574,1,Urban,GetMeal,Yes,Home,ReturnHome,55K-60K,HBSHOP,3,44,Alone,AlmostEveryday,Skip,Car,0,12,7,3,2.0,5,4,2
