HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,WEBUSE.1,HHFAMINC2
30000931,1,0,0,0,0,0,0,0,69,0,0,5,0,0,-1,0,0,0,1,4,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,1,1,1,1,1,0,0,0,69,0,0,5,0,0,-1,0,0,0,1,4,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,1,2,1,1,2,0,0,0,69,0,0,5,0,0,-1,0,0,0,1,4,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,1,3,2,2,3,0,0,0,69,0,0,5,0,0,-1,0,0,0,1,4,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,2,0,2,1,2,0,0,0,68,0,0,6,0,0,-1,0,0,0,0,6,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,2,3,1,1,2,0,0,0,68,0,0,6,0,0,-1,0,0,0,0,6,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,2,3,2,2,3,0,0,0,68,0,0,6,0,0,-1,0,0,0,0,6,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,2,0,3,2,3,0,0,0,68,0,0,6,0,0,-1,0,0,0,0,6,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,2,0,3,2,3,0,0,0,68,0,0,6,0,0,-1,0,0,0,0,6,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30000931,2,0,3,2,3,0,0,0,68,0,0,6,0,0,-1,0,0,0,0,6,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30001629,1,0,2,1,2,1,0,0,58,0,0,7,5,0,-1,0,0,0,20,4,-9.0,-9.0,-9.0,1,0,0,0,1,2,0,0
30001629,1,3,2,2,3,1,0,0,58,0,0,7,5,0,-1,0,0,0,20,4,-9.0,-9.0,-9.0,1,0,0,0,1,2,0,0
30001629,1,0,0,0,4,1,0,0,58,0,0,7,5,0,-1,0,0,0,20,4,-9.0,-9.0,-9.0,1,0,0,0,1,2,0,0
30001629,1,4,0,2,3,1,0,0,58,0,0,7,5,0,-1,0,0,0,20,4,-9.0,-9.0,-9.0,1,0,0,0,1,2,0,0
30001629,2,0,0,0,4,1,0,0,58,0,0,5,0,0,-1,0,0,0,22,2,-9.0,-9.0,-9.0,1,0,0,0,1,2,0,0
30001629,2,4,0,2,3,1,0,0,58,0,0,5,0,0,-1,0,0,0,22,2,-9.0,-9.0,-9.0,1,0,0,0,1,2,0,0
30001989,1,0,2,1,2,2,0,0,72,0,0,5,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,0
30001989,1,3,1,0,0,2,0,0,72,0,0,5,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,0
30001989,1,1,0,2,3,2,0,0,72,0,0,5,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,0
30001989,2,0,2,1,2,2,0,0,71,0,0,5,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,0
30001989,2,3,1,0,0,2,0,0,71,0,0,5,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,0
30001989,2,1,0,2,3,2,0,0,71,0,0,5,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,2,0,0,0,1,2,0,0
30002448,1,0,2,1,5,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,5,2,2,3,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,0,0,0,0,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,1,0,2,3,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,0,0,0,6,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,6,0,2,3,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,0,2,3,7,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30002448,1,7,2,2,3,0,0,0,67,0,0,0,0,0,-1,0,0,0,2,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,0
30003254,1,0,2,1,2,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,1,3,1,3,7,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,1,7,1,1,2,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,1,3,1,4,8,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,1,8,1,1,2,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,1,3,1,4,8,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,1,8,3,2,3,3,1,0,28,0,0,2,0,0,-1,0,0,0,5,7,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30003254,2,0,2,1,2,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,3,1,3,7,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,7,1,1,2,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,3,1,5,9,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,9,3,2,3,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,0,2,3,7,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,7,2,2,3,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30005355,1,4,0,2,3,1,0,0,54,0,0,0,7,0,-1,0,0,0,1,3,-9.0,-9.0,-9.0,0,0,0,0,1,1,0,0
30005355,1,0,2,3,7,1,0,0,54,0,0,0,7,0,-1,0,0,0,1,3,-9.0,-9.0,-9.0,0,0,0,0,1,1,0,0
30005355,1,7,2,2,3,1,0,0,54,0,0,0,7,0,-1,0,0,0,1,3,-9.0,-9.0,-9.0,0,0,0,0,1,1,0,0
30005927,1,0,3,2,3,1,1,0,44,0,0,21,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,1,0,0,0,1,3,0,0
30005927,1,0,3,2,3,1,1,0,44,0,0,21,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,1,0,0,0,1,3,0,0
30005927,1,0,3,2,3,1,1,0,44,0,0,21,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,1,0,0,0,1,3,0,0
