HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10000045,1,0,0,0,0,0,0,0,1,55,0,0,0,0,2,5,20,0,6.0,15,1,0
10000045,1,0,1,0,1,1,0,1,1,55,0,0,0,0,2,5,20,0,6.0,15,1,0
10000045,1,0,2,0,2,2,0,1,1,55,0,0,0,0,2,5,20,0,6.0,15,1,0
10000045,1,0,3,0,0,0,0,1,1,55,0,0,0,0,2,5,20,0,6.0,15,1,0
10000045,1,0,1,0,3,3,0,0,1,55,0,0,0,0,2,5,20,0,6.0,15,1,0
10001574,1,0,0,0,4,1,1,2,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,4,0,0,0,1,1,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,1,0,5,4,1,1,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,5,0,3,3,1,2,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,0,0,4,1,1,2,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,4,0,6,5,1,1,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,6,0,3,3,1,0,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,0,0,5,4,1,2,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,5,0,0,0,1,1,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,1,0,3,3,1,0,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,0,0,0,0,1,0,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,1,0,1,0,3,3,1,0,3,44,0,1,0,0,0,12,7,3,2.0,5,4,2
10001574,2,0,0,0,7,6,1,3,3,42,0,1,0,0,3,4,0,0,3.0,10,4,2
10001574,2,0,7,0,8,0,1,1,3,42,0,1,0,0,3,4,0,0,3.0,10,4,2
10001574,2,0,8,0,0,0,1,1,3,42,0,1,0,0,3,4,0,0,3.0,10,4,2
10001574,2,0,1,0,3,3,1,0,3,42,0,1,0,0,3,4,0,0,3.0,10,4,2
10001574,3,0,0,1,7,6,1,3,3,14,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10001574,3,0,7,1,8,0,1,1,3,14,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10001574,3,0,8,1,0,0,1,1,3,14,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10001574,3,0,1,1,3,3,1,0,3,14,1,0,0,1,-1,4,-1,-1,-1.0,-1,4,2
10001574,4,0,0,0,9,1,1,2,3,17,0,1,0,0,7,5,7,7,11.0,20,4,2
10001574,4,0,9,0,0,0,1,1,3,17,0,1,0,0,7,5,7,7,11.0,20,4,2
10001574,4,0,1,0,2,2,1,1,3,17,0,1,0,0,7,5,7,7,11.0,20,4,2
10001574,4,0,3,0,0,0,1,1,3,17,0,1,0,0,7,5,7,7,11.0,20,4,2
10001574,4,0,1,0,3,3,1,0,3,17,0,1,0,0,7,5,7,7,11.0,20,4,2
10003738,1,0,0,0,10,4,0,2,1,39,1,0,0,1,-1,4,0,0,-9.0,-1,2,0
10003738,1,0,10,0,11,7,0,1,1,39,1,0,0,1,-1,4,0,0,-9.0,-1,2,0
10003738,1,0,11,0,12,4,0,1,1,39,1,0,0,1,-1,4,0,0,-9.0,-1,2,0
10003738,1,0,12,0,3,3,0,2,1,39,1,0,0,1,-1,4,0,0,-9.0,-1,2,0
10003738,2,0,0,0,13,8,0,2,1,17,1,0,0,1,-1,4,10,0,-9.0,-1,2,0
10003738,2,0,13,0,11,7,0,1,1,17,1,0,0,1,-1,4,10,0,-9.0,-1,2,0
10003738,2,0,11,0,12,4,0,1,1,17,1,0,0,1,-1,4,10,0,-9.0,-1,2,0
10003738,2,0,12,0,3,3,0,2,1,17,1,0,0,1,-1,4,10,0,-9.0,-1,2,0
10004007,1,0,0,0,6,5,2,0,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,6,0,9,1,2,1,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,9,0,6,5,2,1,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,6,0,6,5,2,1,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,6,0,6,5,2,1,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,6,0,0,0,2,1,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,1,0,12,4,2,1,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,12,0,3,3,2,2,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
10004007,1,0,0,0,14,9,2,2,0,77,1,2,0,1,-1,10,3,0,-9.0,-1,1,0
