URBRUR,WKFMHMXX,GCDWORK,TRIPPURP,NBIKETRP,PERSONID,HHSIZE,CNTTDTR,R_AGE,HHFAMINC,DRIVER,WHYFROM,TIMETOWK,WHYTRP1S,HHFAMINC2,WHYTO,WEBUSE,NWALKTRP,WRKCOUNT,HOUSEID,WRKTRANS
Urban,Skip,2,HBSHOP,0,1,1,5,55,15K-20K,Yes,Home,15,EatMeal,VeryLow,GetMeal,Skip,20,1,10000045,Car
Urban,Skip,2,NHB,0,1,1,5,55,15K-20K,Yes,GetMeal,15,Family,VeryLow,BuyService,Skip,20,1,10000045,Car
Urban,Skip,2,NHB,0,1,1,5,55,15K-20K,Yes,BuyService,15,ToWork,VeryLow,GoToWork,Skip,20,1,10000045,Car
Urban,Skip,2,NHB,0,1,1,5,55,15K-20K,Yes,GoToWork,15,EatMeal,VeryLow,GetMeal,Skip,20,1,10000045,Car
Urban,Skip,2,HBSHOP,0,1,1,5,55,15K-20K,Yes,GetMeal,15,ReturnHome,VeryLow,Home,Skip,20,1,10000045,Car
Urban,Skip,0,HBO,3,1,4,12,44,55K-60K,Yes,Home,5,Family,High,FamilyPersonalBusiness,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,NHB,3,1,4,12,44,55K-60K,Yes,FamilyPersonalBusiness,5,EatMeal,High,GetMeal,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,NHB,3,1,4,12,44,55K-60K,Yes,GetMeal,5,ServePassenger,High,TransportSomeone,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBO,3,1,4,12,44,55K-60K,Yes,TransportSomeone,5,ReturnHome,High,Home,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBO,3,1,4,12,44,55K-60K,Yes,Home,5,Family,High,FamilyPersonalBusiness,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,NHB,3,1,4,12,44,55K-60K,Yes,FamilyPersonalBusiness,5,Shopping,High,BuyGoods,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBSHOP,3,1,4,12,44,55K-60K,Yes,BuyGoods,5,ReturnHome,High,Home,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBO,3,1,4,12,44,55K-60K,Yes,Home,5,ServePassenger,High,TransportSomeone,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,NHB,3,1,4,12,44,55K-60K,Yes,TransportSomeone,5,EatMeal,High,GetMeal,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBSHOP,3,1,4,12,44,55K-60K,Yes,GetMeal,5,ReturnHome,High,Home,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBSHOP,3,1,4,12,44,55K-60K,Yes,Home,5,EatMeal,High,GetMeal,AlmostEveryday,7,3,10001574,Car
Urban,Skip,0,HBSHOP,3,1,4,12,44,55K-60K,Yes,GetMeal,5,ReturnHome,High,Home,AlmostEveryday,7,3,10001574,Car
Urban,Skip,3,HBSOCREC,0,2,4,4,42,55K-60K,Yes,Home,10,SocialRecreation,High,HangOut,AlmostEveryday,0,3,10001574,Car
Urban,Skip,3,NHB,0,2,4,4,42,55K-60K,Yes,HangOut,10,EatMeal,High,SocialEvent,AlmostEveryday,0,3,10001574,Car
Urban,Skip,3,NHB,0,2,4,4,42,55K-60K,Yes,SocialEvent,10,EatMeal,High,GetMeal,AlmostEveryday,0,3,10001574,Car
Urban,Skip,3,HBSHOP,0,2,4,4,42,55K-60K,Yes,GetMeal,10,ReturnHome,High,Home,AlmostEveryday,0,3,10001574,Car
Urban,Skip,-1,HBSOCREC,-1,3,4,4,14,55K-60K,Skip,Home,-1,SocialRecreation,High,HangOut,Skip,-1,3,10001574,Skip
Urban,Skip,-1,NHB,-1,3,4,4,14,55K-60K,Skip,HangOut,-1,EatMeal,High,SocialEvent,Skip,-1,3,10001574,Skip
Urban,Skip,-1,NHB,-1,3,4,4,14,55K-60K,Skip,SocialEvent,-1,EatMeal,High,GetMeal,Skip,-1,3,10001574,Skip
Urban,Skip,-1,HBSHOP,-1,3,4,4,14,55K-60K,Skip,GetMeal,-1,ReturnHome,High,Home,Skip,-1,3,10001574,Skip
Urban,Skip,7,HBO,7,4,4,5,17,55K-60K,Yes,Home,20,Family,High,AttorneyAccountant,AlmostEveryday,7,3,10001574,Car
Urban,Skip,7,NHB,7,4,4,5,17,55K-60K,Yes,AttorneyAccountant,20,EatMeal,High,GetMeal,AlmostEveryday,7,3,10001574,Car
Urban,Skip,7,NHB,7,4,4,5,17,55K-60K,Yes,GetMeal,20,ToWork,High,GoToWork,AlmostEveryday,7,3,10001574,Car
Urban,Skip,7,NHB,7,4,4,5,17,55K-60K,Yes,GoToWork,20,EatMeal,High,GetMeal,AlmostEveryday,7,3,10001574,Car
Urban,Skip,7,HBSHOP,7,4,4,5,17,55K-60K,Yes,GetMeal,20,ReturnHome,High,Home,AlmostEveryday,7,3,10001574,Car
Urban,Skip,-1,HBO,0,1,2,4,39,15K-20K,Yes,Home,-1,ServePassenger,VeryLow,PickUpSomeone,Skip,0,1,10003738,Skip
Urban,Skip,-1,NHB,0,1,2,4,39,15K-20K,Yes,PickUpSomeone,-1,Medical,VeryLow,MedicalService,Skip,0,1,10003738,Skip
Urban,Skip,-1,NHB,0,1,2,4,39,15K-20K,Yes,MedicalService,-1,ServePassenger,VeryLow,DropSomeoneOff,Skip,0,1,10003738,Skip
Urban,Skip,-1,HBO,0,1,2,4,39,15K-20K,Yes,DropSomeoneOff,-1,ReturnHome,VeryLow,Home,Skip,0,1,10003738,Skip
Urban,Skip,-1,HBO,0,2,2,4,17,15K-20K,Yes,Home,-1,School,VeryLow,GoSchoolAsStudent,Skip,10,1,10003738,Skip
Urban,Skip,-1,NHB,0,2,2,4,17,15K-20K,Yes,GoSchoolAsStudent,-1,Medical,VeryLow,MedicalService,Skip,10,1,10003738,Skip
Urban,Skip,-1,NHB,0,2,2,4,17,15K-20K,Yes,MedicalService,-1,ServePassenger,VeryLow,DropSomeoneOff,Skip,10,1,10003738,Skip
Urban,Skip,-1,HBO,0,2,2,4,17,15K-20K,Yes,DropSomeoneOff,-1,ReturnHome,VeryLow,Home,Skip,10,1,10003738,Skip
Urban,Skip,-1,HBSHOP,0,1,1,10,77,10K-15K,Yes,Home,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,Family,VeryLow,AttorneyAccountant,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,AttorneyAccountant,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,EatMeal,VeryLow,GetMeal,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,GetMeal,-1,ServePassenger,VeryLow,DropSomeoneOff,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,HBO,0,1,1,10,77,10K-15K,Yes,DropSomeoneOff,-1,ReturnHome,VeryLow,Home,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,HBO,0,1,1,10,77,10K-15K,Yes,Home,-1,Other,VeryLow,Other,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,HBO,0,1,1,10,77,10K-15K,Yes,Other,-1,ReturnHome,VeryLow,Home,OnceMonth,3,0,10004007,Skip
Urban,OnceMonthMore,1,HBSHOP,0,1,3,7,56,75K-80K,Yes,Home,3,Shopping,High,BuyGas,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,BuyGas,3,WorkRelated,High,OtherWorkRelated,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,OtherWorkRelated,3,ToWork,High,GoToWork,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,GoToWork,3,Family,High,BuyService,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,BuyService,3,Shopping,High,BuyGoods,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,BuyGoods,3,ReturnWork,High,ReturnToWork,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,HBW,0,1,3,7,56,75K-80K,Yes,ReturnToWork,3,ReturnHome,High,Home,SeveralWeek,2,2,10007334,Other
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,Home,35,Other,High,SchoolOrReligiousActivity,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,SchoolOrReligiousActivity,35,ReturnHome,High,Home,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBW,0,2,3,6,45,75K-80K,Yes,Home,35,ToWork,High,GoToWork,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBW,0,2,3,6,45,75K-80K,Yes,GoToWork,35,ReturnHome,High,Home,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,Home,35,ServePassenger,High,PickUpSomeone,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,PickUpSomeone,35,ReturnHome,High,Home,OnceWeek,0,2,10007334,Car
Urban,Skip,-1,HBO,-1,3,3,4,15,75K-80K,No,Home,-1,School,High,GoSchoolAsStudent,Skip,-1,2,10007334,Skip
Urban,Skip,-1,NHB,-1,3,3,4,15,75K-80K,No,GoSchoolAsStudent,-1,School,High,GoSchoolAsStudent,Skip,-1,2,10007334,Skip
