URBRUR,WKFMHMXX,GCDWORK,TRIPPURP,NBIKETRP,PERSONID,HHSIZE,CNTTDTR,R_AGE,HHFAMINC,DRIVER,WHYFROM,TIMETOWK,WHYTRP1S,HHFAMINC2,WHYTO,WEBUSE,WEBUSE,NWALKTRP,WRKCOUNT,HOUSEID,WRKTRANS
Urban,Skip,-9.0,HBSOCREC,0,1,2,4,69,35K-50K,Yes,Home,-1,SocialRecreation,Low,VisitFriends,1,Daily,5,0,30000931,Skip
Urban,Skip,-9.0,NHB,0,1,2,4,69,35K-50K,Yes,VisitFriends,-1,Shopping,Low,Errands,1,Daily,5,0,30000931,Skip
Urban,Skip,-9.0,NHB,0,1,2,4,69,35K-50K,Yes,Errands,-1,Shopping,Low,BuyGoods,1,Daily,5,0,30000931,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,4,69,35K-50K,Yes,BuyGoods,-1,Home,Low,Home,1,Daily,5,0,30000931,Skip
Urban,Skip,-9.0,HBSHOP,0,2,2,6,68,35K-50K,Yes,Home,-1,Shopping,Low,BuyGoods,1,Daily,6,0,30000931,Skip
Urban,Skip,-9.0,NHB,0,2,2,6,68,35K-50K,Yes,BuyGoods,-1,Shopping,Low,BuyGoods,1,Daily,6,0,30000931,Skip
Urban,Skip,-9.0,HBSHOP,0,2,2,6,68,35K-50K,Yes,BuyGoods,-1,Home,Low,Home,1,Daily,6,0,30000931,Skip
Urban,Skip,-9.0,HBO,0,2,2,6,68,35K-50K,Yes,Home,-1,Home,Low,Home,1,Daily,6,0,30000931,Skip
Urban,Skip,-9.0,HBO,0,2,2,6,68,35K-50K,Yes,Home,-1,Home,Low,Home,1,Daily,6,0,30000931,Skip
Urban,Skip,-9.0,HBO,0,2,2,6,68,35K-50K,Yes,Home,-1,Home,Low,Home,1,Daily,6,0,30000931,Skip
Urban,Skip,-9.0,HBSHOP,5,1,2,4,58,15K-25K,Yes,Home,-1,Shopping,VeryLow,BuyGoods,1,Daily,7,0,30001629,Skip
Urban,Skip,-9.0,HBSHOP,5,1,2,4,58,15K-25K,Yes,BuyGoods,-1,Home,VeryLow,Home,1,Daily,7,0,30001629,Skip
Urban,Skip,-9.0,HBSOCREC,5,1,2,4,58,15K-25K,Yes,Home,-1,SocialRecreation,VeryLow,GoToGym,1,Daily,7,0,30001629,Skip
Urban,Skip,-9.0,HBSOCREC,5,1,2,4,58,15K-25K,Yes,GoToGym,-1,Home,VeryLow,Home,1,Daily,7,0,30001629,Skip
Urban,Skip,-9.0,HBSOCREC,0,2,2,2,58,15K-25K,Yes,Home,-1,SocialRecreation,VeryLow,GoToGym,1,Daily,5,0,30001629,Skip
Urban,Skip,-9.0,HBSOCREC,0,2,2,2,58,15K-25K,Yes,GoToGym,-1,Home,VeryLow,Home,1,Daily,5,0,30001629,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,3,72,25K-35K,Yes,Home,-1,Shopping,Low,BuyGoods,1,Daily,5,0,30001989,Skip
Urban,Skip,-9.0,NHB,0,1,2,3,72,25K-35K,Yes,BuyGoods,-1,SocialRecreation,Low,VisitFriends,1,Daily,5,0,30001989,Skip
Urban,Skip,-9.0,HBSOCREC,0,1,2,3,72,25K-35K,Yes,VisitFriends,-1,Home,Low,Home,1,Daily,5,0,30001989,Skip
Urban,Skip,-9.0,HBSHOP,0,2,2,3,71,25K-35K,Yes,Home,-1,Shopping,Low,BuyGoods,1,Daily,5,0,30001989,Skip
Urban,Skip,-9.0,NHB,0,2,2,3,71,25K-35K,Yes,BuyGoods,-1,SocialRecreation,Low,VisitFriends,1,Daily,5,0,30001989,Skip
Urban,Skip,-9.0,HBSOCREC,0,2,2,3,71,25K-35K,Yes,VisitFriends,-1,Home,Low,Home,1,Daily,5,0,30001989,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,8,67,35K-50K,Yes,Home,-1,Shopping,Low,BuyService,1,Daily,0,0,30002448,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,8,67,35K-50K,Yes,BuyService,-1,Home,Low,Home,1,Daily,0,0,30002448,Skip
Urban,Skip,-9.0,HBSOCREC,0,1,2,8,67,35K-50K,Yes,Home,-1,SocialRecreation,Low,VisitFriends,1,Daily,0,0,30002448,Skip
Urban,Skip,-9.0,HBSOCREC,0,1,2,8,67,35K-50K,Yes,VisitFriends,-1,Home,Low,Home,1,Daily,0,0,30002448,Skip
Urban,Skip,-9.0,HBSOCREC,0,1,2,8,67,35K-50K,Yes,Home,-1,SocialRecreation,Low,SocialRecreational,1,Daily,0,0,30002448,Skip
Urban,Skip,-9.0,HBSOCREC,0,1,2,8,67,35K-50K,Yes,SocialRecreational,-1,Home,Low,Home,1,Daily,0,0,30002448,Skip
