HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK,DISTTOSC,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,HHFAMINC2,WEBUSE
30000931,1,Home,HBSOCREC,SocialRecreation,VisitFriends,35K-50K,0,Urban,69,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,1,4,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,1,VisitFriends,NHB,Shopping,Errands,35K-50K,0,Urban,69,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,1,4,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,1,Errands,NHB,Shopping,BuyGoods,35K-50K,0,Urban,69,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,1,4,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,1,BuyGoods,HBSHOP,Home,Home,35K-50K,0,Urban,69,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,1,4,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,2,Home,HBSHOP,Shopping,BuyGoods,35K-50K,0,Urban,68,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,0,6,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,2,BuyGoods,NHB,Shopping,BuyGoods,35K-50K,0,Urban,68,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,0,6,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,2,BuyGoods,HBSHOP,Home,Home,35K-50K,0,Urban,68,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,0,6,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,2,Home,HBO,Home,Home,35K-50K,0,Urban,68,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,0,6,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,2,Home,HBO,Home,Home,35K-50K,0,Urban,68,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,0,6,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30000931,2,Home,HBO,Home,Home,35K-50K,0,Urban,68,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,0,6,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30001629,1,Home,HBSHOP,Shopping,BuyGoods,15K-25K,0,Urban,58,Yes,Skip,7,5,0,-1,Skip,Skip,Skip,20,4,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,2,0,Daily
30001629,1,BuyGoods,HBSHOP,Home,Home,15K-25K,0,Urban,58,Yes,Skip,7,5,0,-1,Skip,Skip,Skip,20,4,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,2,0,Daily
30001629,1,Home,HBSOCREC,SocialRecreation,GoToGym,15K-25K,0,Urban,58,Yes,Skip,7,5,0,-1,Skip,Skip,Skip,20,4,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,2,0,Daily
30001629,1,GoToGym,HBSOCREC,Home,Home,15K-25K,0,Urban,58,Yes,Skip,7,5,0,-1,Skip,Skip,Skip,20,4,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,2,0,Daily
30001629,2,Home,HBSOCREC,SocialRecreation,GoToGym,15K-25K,0,Urban,58,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,22,2,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,2,0,Daily
30001629,2,GoToGym,HBSOCREC,Home,Home,15K-25K,0,Urban,58,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,22,2,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,2,0,Daily
30001989,1,Home,HBSHOP,Shopping,BuyGoods,25K-35K,0,Urban,72,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAYear,Daily,Never,Never,1,2,0,Daily
30001989,1,BuyGoods,NHB,SocialRecreation,VisitFriends,25K-35K,0,Urban,72,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAYear,Daily,Never,Never,1,2,0,Daily
30001989,1,VisitFriends,HBSOCREC,Home,Home,25K-35K,0,Urban,72,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAYear,Daily,Never,Never,1,2,0,Daily
30001989,2,Home,HBSHOP,Shopping,BuyGoods,25K-35K,0,Urban,71,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAYear,Daily,Never,Never,1,2,0,Daily
30001989,2,BuyGoods,NHB,SocialRecreation,VisitFriends,25K-35K,0,Urban,71,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAYear,Daily,Never,Never,1,2,0,Daily
30001989,2,VisitFriends,HBSOCREC,Home,Home,25K-35K,0,Urban,71,Yes,Skip,5,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAYear,Daily,Never,Never,1,2,0,Daily
30002448,1,Home,HBSHOP,Shopping,BuyService,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,BuyService,HBSHOP,Home,Home,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,Home,HBSOCREC,SocialRecreation,VisitFriends,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,VisitFriends,HBSOCREC,Home,Home,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,Home,HBSOCREC,SocialRecreation,SocialRecreational,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,SocialRecreational,HBSOCREC,Home,Home,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,Home,HBSHOP,Meals,BuyMeals,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30002448,1,BuyMeals,HBSHOP,Home,Home,35K-50K,0,Urban,67,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,2,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,0,Daily
30003254,1,Home,HBSHOP,Shopping,BuyGoods,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,1,BuyGoods,NHB,Meals,BuyMeals,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,1,BuyMeals,NHB,Shopping,BuyGoods,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,1,BuyGoods,NHB,TransportSomeone,PickUpOrDropSomeone,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,1,PickUpOrDropSomeone,NHB,Shopping,BuyGoods,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,1,BuyGoods,NHB,TransportSomeone,PickUpOrDropSomeone,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,1,PickUpOrDropSomeone,HBO,Home,Home,75K-100K,1,Urban,28,Yes,Skip,2,0,0,-1,Skip,Skip,Skip,5,7,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,Home,HBSHOP,Shopping,BuyGoods,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,BuyGoods,NHB,Meals,BuyMeals,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,BuyMeals,NHB,Shopping,BuyGoods,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,BuyGoods,NHB,Medical,MedicalService,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,MedicalService,HBO,Home,Home,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,Home,HBSHOP,Meals,BuyMeals,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30003254,2,BuyMeals,HBSHOP,Home,Home,75K-100K,1,Urban,28,Yes,Car,1,0,0,28,Skip,Car,Car,1,7,11.18,15.03,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30005355,1,GoToGym,HBSOCREC,Home,Home,15K-25K,0,Urban,54,Yes,Skip,0,7,0,-1,Skip,Skip,Skip,1,3,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,1,0,Daily
30005355,1,Home,HBSHOP,Meals,BuyMeals,15K-25K,0,Urban,54,Yes,Skip,0,7,0,-1,Skip,Skip,Skip,1,3,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,1,0,Daily
30005355,1,BuyMeals,HBSHOP,Home,Home,15K-25K,0,Urban,54,Yes,Skip,0,7,0,-1,Skip,Skip,Skip,1,3,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,1,0,Daily
30005927,1,Home,HBO,Home,Home,15K-25K,1,Urban,44,Yes,Skip,21,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,1,Home,HBO,Home,Home,15K-25K,1,Urban,44,Yes,Skip,21,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,1,Home,HBO,Home,Home,15K-25K,1,Urban,44,Yes,Skip,21,0,0,-1,Skip,Skip,Skip,0,3,-9.0,-9.0,-9.0,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,2,Home,HBO,Home,Home,15K-25K,1,Urban,40,Yes,SUV,7,0,0,15,Skip,SUV,SUV,0,3,4.67,4.83,-9.0,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,2,Home,HBO,Home,Home,15K-25K,1,Urban,40,Yes,SUV,7,0,0,15,Skip,SUV,SUV,0,3,4.67,4.83,-9.0,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,2,Home,HBO,Home,Home,15K-25K,1,Urban,40,Yes,SUV,7,0,0,15,Skip,SUV,SUV,0,3,4.67,4.83,-9.0,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,3,Home,HBO,Home,Home,15K-25K,1,Urban,14,Skip,Skip,28,0,-1,-1,Skip,Skip,Skip,-1,3,-9.0,-9.0,2.01,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,3,Home,HBO,Home,Home,15K-25K,1,Urban,14,Skip,Skip,28,0,-1,-1,Skip,Skip,Skip,-1,3,-9.0,-9.0,2.01,FewAWeek,Daily,Never,Never,1,3,0,Daily
30005927,3,Home,HBO,Home,Home,15K-25K,1,Urban,14,Skip,Skip,28,0,-1,-1,Skip,Skip,Skip,-1,3,-9.0,-9.0,2.01,FewAWeek,Daily,Never,Never,1,3,0,Daily
30007984,1,Home,HBO,Medical,MedicalService,10K-15K,0,Urban,65,Yes,Skip,10,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,Never,FewAMonth,Never,1,1,0,Daily
30007984,1,MedicalService,HBO,Home,Home,10K-15K,0,Urban,65,Yes,Skip,10,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,Never,FewAMonth,Never,1,1,0,Daily
30007984,1,Home,HBSHOP,Meals,BuyMeals,10K-15K,0,Urban,65,Yes,Skip,10,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,Never,FewAMonth,Never,1,1,0,Daily
30007984,1,BuyMeals,HBSHOP,Home,Home,10K-15K,0,Urban,65,Yes,Skip,10,0,0,-1,Skip,Skip,Skip,0,4,-9.0,-9.0,-9.0,Never,Never,FewAMonth,Never,1,1,0,Daily
30008132,1,Home,HBSOCREC,SocialRecreation,GoToGym,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,GoToGym,NHB,SocialRecreation,VisitFriends,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,VisitFriends,NHB,Shopping,BuyService,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,BuyService,NHB,SchoolOrReligious,Religious,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,Religious,NHB,SocialRecreation,VisitFriends,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,VisitFriends,NHB,Other,Volunteer,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,Volunteer,NHB,Shopping,BuyGoods,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,BuyGoods,NHB,Shopping,BuyGoods,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008132,1,BuyGoods,HBSHOP,Home,Home,10K-15K,0,Urban,70,Yes,Skip,6,0,0,-1,Skip,Skip,Skip,2,9,-9.0,-9.0,-9.0,NotAscertained,Never,Never,Never,1,1,0,Daily
30008783,1,Home,HBSHOP,Shopping,BuyGoods,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,BuyGoods,NHB,SchoolOrReligious,Religious,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,Religious,NHB,Medical,MedicalService,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,MedicalService,NHB,Shopping,BuyGoods,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,BuyGoods,NHB,Shopping,BuyGoods,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,BuyGoods,NHB,Shopping,BuyGoods,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,BuyGoods,NHB,Meals,BuyMeals,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,1,BuyMeals,HBSHOP,Home,Home,75K-100K,0,Rural,65,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,8,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,2,Home,HBO,Medical,MedicalService,75K-100K,0,Rural,64,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,5,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,2,MedicalService,NHB,Shopping,BuyGoods,75K-100K,0,Rural,64,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,5,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
30008783,2,BuyGoods,HBSHOP,Home,Home,75K-100K,0,Rural,64,Yes,Skip,0,0,0,-1,Skip,Skip,Skip,1,5,-9.0,-9.0,-9.0,Never,Daily,Never,Never,1,2,2,Daily
