TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,HOUSEID,PERSONID,HHFAMINC2
15,2,0,0,0,0,0,20,1,0,0,0,55,5,1,0,0,0,10000045,1,0
15,2,1,1,0,0,0,20,1,1,1,0,55,5,1,0,0,0,10000045,1,0
15,2,1,2,0,0,0,20,1,2,2,0,55,5,1,0,0,0,10000045,1,0
15,2,1,0,0,0,0,20,1,0,3,0,55,5,1,0,0,0,10000045,1,0
15,2,0,3,0,0,0,20,1,3,1,0,55,5,1,0,0,0,10000045,1,0
5,0,2,4,0,0,0,7,4,1,0,3,44,12,3,0,1,1,10001574,1,2
5,0,1,0,0,0,0,7,4,0,4,3,44,12,3,0,1,1,10001574,1,2
5,0,1,5,0,0,0,7,4,4,1,3,44,12,3,0,1,1,10001574,1,2
5,0,2,3,0,0,0,7,4,3,5,3,44,12,3,0,1,1,10001574,1,2
5,0,2,4,0,0,0,7,4,1,0,3,44,12,3,0,1,1,10001574,1,2
5,0,1,6,0,0,0,7,4,5,4,3,44,12,3,0,1,1,10001574,1,2
5,0,0,3,0,0,0,7,4,3,6,3,44,12,3,0,1,1,10001574,1,2
5,0,2,5,0,0,0,7,4,4,0,3,44,12,3,0,1,1,10001574,1,2
5,0,1,0,0,0,0,7,4,0,5,3,44,12,3,0,1,1,10001574,1,2
5,0,0,3,0,0,0,7,4,3,1,3,44,12,3,0,1,1,10001574,1,2
5,0,0,0,0,0,0,7,4,0,0,3,44,12,3,0,1,1,10001574,1,2
5,0,0,3,0,0,0,7,4,3,1,3,44,12,3,0,1,1,10001574,1,2
10,3,3,7,0,0,0,0,4,6,0,0,42,4,3,0,1,1,10001574,2,2
10,3,1,8,0,0,0,0,4,0,7,0,42,4,3,0,1,1,10001574,2,2
10,3,1,0,0,0,0,0,4,0,8,0,42,4,3,0,1,1,10001574,2,2
10,3,0,3,0,0,0,0,4,3,1,0,42,4,3,0,1,1,10001574,2,2
-1,-1,3,7,0,1,1,-1,4,6,0,-1,14,4,3,0,1,0,10001574,3,2
-1,-1,1,8,0,1,1,-1,4,0,7,-1,14,4,3,0,1,0,10001574,3,2
