TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,WEBUSE.1,HOUSEID,PERSONID,HHFAMINC2
-1,-9.0,0,0,0,0,0,5,2,0,0,0,69,4,0,0,0,1,0,30000931,1,0
-1,-9.0,1,1,0,0,0,5,2,1,1,0,69,4,0,0,0,1,0,30000931,1,0
-1,-9.0,1,2,0,0,0,5,2,1,2,0,69,4,0,0,0,1,0,30000931,1,0
-1,-9.0,2,3,0,0,0,5,2,2,3,0,69,4,0,0,0,1,0,30000931,1,0
-1,-9.0,2,2,0,0,0,6,2,1,0,0,68,6,0,0,0,1,0,30000931,2,0
-1,-9.0,1,2,0,0,0,6,2,1,3,0,68,6,0,0,0,1,0,30000931,2,0
-1,-9.0,2,3,0,0,0,6,2,2,3,0,68,6,0,0,0,1,0,30000931,2,0
-1,-9.0,3,3,0,0,0,6,2,2,0,0,68,6,0,0,0,1,0,30000931,2,0
-1,-9.0,3,3,0,0,0,6,2,2,0,0,68,6,0,0,0,1,0,30000931,2,0
-1,-9.0,3,3,0,0,0,6,2,2,0,0,68,6,0,0,0,1,0,30000931,2,0
-1,-9.0,2,2,0,0,0,7,2,1,0,5,58,4,0,0,1,1,0,30001629,1,0
-1,-9.0,2,3,0,0,0,7,2,2,3,5,58,4,0,0,1,1,0,30001629,1,0
-1,-9.0,0,4,0,0,0,7,2,0,0,5,58,4,0,0,1,1,0,30001629,1,0
-1,-9.0,0,3,0,0,0,7,2,2,4,5,58,4,0,0,1,1,0,30001629,1,0
-1,-9.0,0,4,0,0,0,5,2,0,0,0,58,2,0,0,1,1,0,30001629,2,0
-1,-9.0,0,3,0,0,0,5,2,2,4,0,58,2,0,0,1,1,0,30001629,2,0
-1,-9.0,2,2,0,0,0,5,2,1,0,0,72,3,0,0,2,1,0,30001989,1,0
-1,-9.0,1,0,0,0,0,5,2,0,3,0,72,3,0,0,2,1,0,30001989,1,0
-1,-9.0,0,3,0,0,0,5,2,2,1,0,72,3,0,0,2,1,0,30001989,1,0
-1,-9.0,2,2,0,0,0,5,2,1,0,0,71,3,0,0,2,1,0,30001989,2,0
-1,-9.0,1,0,0,0,0,5,2,0,3,0,71,3,0,0,2,1,0,30001989,2,0
-1,-9.0,0,3,0,0,0,5,2,2,1,0,71,3,0,0,2,1,0,30001989,2,0
-1,-9.0,2,5,0,0,0,0,2,1,0,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,2,3,0,0,0,0,2,2,5,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,0,0,0,0,0,0,2,0,0,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,0,3,0,0,0,0,2,2,1,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,0,6,0,0,0,0,2,0,0,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,0,3,0,0,0,0,2,2,6,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,2,7,0,0,0,0,2,3,0,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,2,3,0,0,0,0,2,2,7,0,67,8,0,0,0,1,0,30002448,1,0
-1,-9.0,2,2,0,0,0,2,2,1,0,0,28,7,1,0,3,1,0,30003254,1,2
-1,-9.0,1,7,0,0,0,2,2,3,3,0,28,7,1,0,3,1,0,30003254,1,2
